district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
alp,Salvation Army Church,Salvation Army Church,Chengannoor,Puliyoor,active,,,140,,,,,,,,
alp,Pottamel Churchq,Pottamel Churchq,Chengannoor,Puliyoor,active,,,50,,,,,,,,
alp,"NSS Karayogam, Thoakkadu","NSS Karayogam, Thoakkadu",Chengannoor,Puliyoor,active,,,120,,,,,,,,
tcr,G U P School,Perinjanam,Kodungaloor,Perinjanam,active,9567468216,,920,307,485,128,,,,,
alp,KPMS Auditorium,KPMS Auditorium,Chengannoor,Puliyoor,active,,,120,,,,,,,,
tcr,"St Joseph High School, Pavaratty","St Joseph High School, Pavaratty",Chavakkad,Pavaratty,active,,,92,52,30,10,,,,,
tcr,Madayikonam School,"Madayikonam School , Madayikonam P.O",Mukundapuram,Madayikonam,active,,,171,85,65,,,,,,
ekm,Kulayattikkara Community Hall,"Kulayattikkara Community Hall
Keechery,Amballoor",Kanayannoor,Amballoor,active,"Manoharan - 9605931617
Arun Kumar - 8075080391",,39,14,25,,,,,,
ptm,Punamoottil House,"Sanoj Varghese, Punamoottil House, Aruvappulam GP 
Ward 12",Konni,Aruvappulam,active,,,45,,,,,,,,
ekm,Kanjiramattom Juma Masjid,"Kanjiramattom Juma Masjid
Kanjiramattom
682315",Kanayannoor,Amballoor,duplicate,"Abdul Rahman - 9446173768
Abdul Salam - 8129940032",,275,120,155,,,,,,
ekm,Kanjiramattom Juma Masjid,"Kanjiramattom Juma Masjid
Kanjiramattom
682315",Kanayannoor,Amballoor,active,"Abdul Rahman - 9446173768
Abdul Salam - 8129940032",,275,73,,,,,,,
alp,KPMS Auditorium,KPMS Auditorium,Chengannoor,Puliyoor,active,,,120,,,,,,,,
ktm,ST JOSEPH HSS CHANGENACHERRY,ST JOSEPH HSS CHANGENACHERRY,CHANGENCHERRY,Vazhapally kezakku,active,8547612304,,627,269,294,64,,,,,
